Product_Name,Category,Supplier_Name,Stock_Quantity,Unit_Price
Bell Pepper,Fruits & Vegetables,Eimbee,867,$4.60 
Vegetable Oil,Oils & Fats,Digitube,335,$2.00 
Parmesan Cheese,Dairy,BlogXS,593,$12.00 
Carrot,Fruits & Vegetables,Avaveo,443,$1.50 
Garlic,Fruits & Vegetables,Katz,179,$7.00 
Lemon,Fruits & Vegetables,Yata,602,$2.40 
Coconut Sugar,Grains & Pulses,Lazz,228,$5.00 
Anchovies,Seafood,Zoonder,816,$10.00 
Cheese,Dairy,Oozz,514,$9.00 
Yogurt,Dairy,Jaxnation,608,$1.70 
Cheddar Cheese,Dairy,Gabcube,585,$9.00 
Avocado Oil,Oils & Fats,Dabtype,280,$10.00 
Orange,Fruits & Vegetables,Flashdog,735,$2.90 
Digestive Biscuit,Bakery,Devshare,577,$4.00 
Cauliflower,Fruits & Vegetables,Cogilith,909,$2.50 
Pear,Fruits & Vegetables,Roodel,537,$4.50 
Egg (Turkey),Dairy,Bluezoom,540,$2.50 
Ricotta Cheese,Dairy,Skimia,604,$6.20 
Eggplant,Fruits & Vegetables,Blogpad,567,$3.00 
Whole Wheat Flour,Grains & Pulses,Dabjam,472,$2.70 
Arabica Coffee,Beverages,Feedmix,854,$20.00 
Sweet Potato,Fruits & Vegetables,Trupe,433,$2.00 
Mango,Fruits & Vegetables,Meevee,725,$4.80 
Kale,Fruits & Vegetables,Blogpad,324,$4.00 
Jasmine Rice,Grains & Pulses,Topicware,620,$4.75 
Sourdough Bread,Bakery,Plajo,480,$4.00 
Green Coffee,Beverages,Skyndu,407,$12.00 
Tilapia,Seafood,Vinder,656,$7.00 
Arborio Rice,Grains & Pulses,Geba,342,$4.50 
Bread Flour,Grains & Pulses,Dazzlesphere,1120,$1.50 
Cucumber,Fruits & Vegetables,Kanoodle,476,$1.80 
Milk,Dairy,Centimia,160,$0.90 
Lime,Fruits & Vegetables,Livefish,308,$2.00 
Rice Flour,Grains & Pulses,Quatz,288,$2.00 
Sour Cream,Dairy,Skyvu,278,$4.00 
Whole Wheat Bread,Bakery,Lazz,202,$3.50 
Robusta Coffee,Beverages,Devpulse,398,$10.00 
Chocolate Biscuit,Bakery,Yodo,562,$5.00 
Palm Oil,Oils & Fats,Skipstorm,430,$1.80 
Sesame Oil,Oils & Fats,Dabtype,723,$6.50 
Lettuce,Fruits & Vegetables,Fadeo,268,$2.00 
